673,Saks,RA,RALEIGH,7700 OLD WAKE FOREST RD,RALEIGH,NC,27616-3228,575
674,Saks,CV,CHEVY CHASE MEN'S,5300 WISCONSIN AVE NW,WASHINGTON,DC,20015-2026,575
675,Saks,CO,COLUMBUS,1500 POLARIS PKWY,COLUMBUS,OH,43240-2038,575
678,Saks,SL,SHORT HILLS,1200 MORRIS TURNPIKE,SHORT HILLS,NJ,07078-2717,575
679,Saks,IP,INDIANAPOLIS,8701 KEYSTONE CROSSING,INDIANAPOLIS,IN,46240-4627,575
,,,,,,Servicing,,
,,,,,States,,,
,,,,For all new stores the following,,DC,,
,,,,store state to servicing DC guide,"AZ, CA, CO, HI, NV, OK,",,,
,,Saks Fifth Avenue / Saks OFF FIFTH,,,,597,,
,,,,can be used:,"OR, TX, WA",,,
,,Store to DC Servicing List,,,All other states,575,,
681,Saks,JR,NEW JERSEY,1 AMERICAN DREAM WAY SUITE F140,EAST RUTHERFORD,NJ,7073,575
689,Saks,SK,SAKS DIRECT,1 WALDEN BOOKS DRIVE,LAVERGNE,TN,37086,585
692,Saks,TS,FL TN PHOTO STUDIO,1 WALDEN BOOKS DRIVE,LAVERGNE,TN,37086,585
694,Saks,SP,FL NYC PHOTO STUDIO,34 W 24TH ST 8TH FL,NEW YORK,NY,10010,575
701,OFF 5TH,SD,SAN DIEGO O5,1750 CAMINO DE LA REINA,SAN DIEGO,CA,92108-1526,597
705,OFF 5TH,GV,GRAPEVINE O5,3000 GRAPEVINE MILLS PKWY,GRAPEVINE,TX,76051-2022,597
706,OFF 5TH,WM,WRENTHAM O5,1048 SOUTH ST STE A200,WRENTHAM,MA,02093-2112,575
707,OFF 5TH,CZ,CABAZON O5,48400 SEMINOLE DR STE 306,CABAZON,CA,92230-2126,597
709,OFF 5TH,WO,WOODBURY O5,850 Adirondack Way Suite 850,CENTRAL VALLEY,NY,10917-6902,575
710,OFF 5TH,LB,LEESBURG O5,241 FORT EVANS RD NE,LEESBURG,VA,20176-4039,575
711,OFF 5TH,AB,AUBURN HILLS O5,4700 BALDWIN ROAD,AUBURN HILLS,MI,48326-1284,575
712,OFF 5TH,BM,BERGEN O5,120 BERGEN TOWN CENTER,PARAMUS,NJ,07652-5011,575
713,OFF 5TH,AN,ANAHEIM O5,20 CITY BLVD W STE B2,ORANGE,CA,92868-3122,597
714,OFF 5TH,MI,NORTH MIAMI O5,18701 BISCAYNE BLVD,AVENTURA,FL,33180,575
715,OFF 5TH,EN,ELIZABETH O5,651 KAPKOWSKI ROAD,ELIZABETH,NJ,07201-4928,575
716,OFF 5TH,CM,CONCORD O5,8281 CONCORD MILLS BLVD,CONCORD,NC,28027-6458,575
717,OFF 5TH,KM,KATY O5,5000 KATY MILLS CIRCLE,KATY,TX,77494-4411,597
718,OFF 5TH,DP,DOLPHIN O5,11201 NW 12TH ST STE J100,MIAMI,FL,33172-6903,575
719,OFF 5TH,NL,NORTH ATLANTA O5,915 RIDGEWALK PKWY #800,WOODSTOCK,GA,30188,575
720,OFF 5TH,OS,OPRY O5,247 OPRY MILLS DR,NASHVILLE,TN,37214-2434,575
722,OFF 5TH,AM,ARUNDEL O5,7000 ARUNDEL MILLS CIR STE E1,HANOVER,MD,21076-1282,575
723,OFF 5TH,NA,NAPLES O5,10801 CORKSCREW RD,ESTERO,FL,33928-9443,575
725,OFF 5TH,EF,ELLENTON O5,5709 FACTORY SHOPS BLVD,ELLENTON,FL,34222-4119,575
726,OFF 5TH,AL,ATLANTA O5,5900 SUGARLOAF PKWY 269,LAWRENCEVILLE,GA,30043-7843,575
727,OFF 5TH,WI,WOODFIELD O5,1430 E GOLF RD,SCHAUMBURG,IL,60173-4902,575
729,OFF 5TH,GO,GOLDEN O5,14500 W COLFAX AVE UNIT 161,LAKEWOOD,CO,80401-3225,597
731,OFF 5TH,DE,DESTIN O5,10406 US HIGHWAY 98 W STE 84,DESTIN,FL,32550-7161,575
733,OFF 5TH,SG,SAWGRASS O5,12801 WEST SUNRISE BLVD,SUNRISE,FL,33323-4013,575
734,OFF 5TH,DK,DEER PARK O5,455 COMMACK RD STE 1250,DEER PARK,NY,11729-4508,575
735,OFF 5TH,PB,PALM BEACH O5,1801 PALM BCH LKS #W413,PALM BEACH,FL,33401,575
736,OFF 5TH,ME,MERCEDES O5,5001 E EXPRESSWAY 83,MERCEDES,TX,78570-4571,597
737,OFF 5TH,AS,ST. AUGUSTINE O5,500 OUTLET MALL BLVD,SAINT AUGUSTINE,FL,32084-0499,575
738,OFF 5TH,DT,DALLAS PARK O5,8040 PARK LANE,DALLAS,TX,75231-5931,597
739,OFF 5TH,SX,SAN ANTONIO O5,5819 WORTH PARKWAY,SAN ANTONIO,TX,78257-9534,597
741,OFF 5TH,GI,GILROY O5,"681 LEAVESLEY RD, C310A",GILROY,CA,95020-3649,597
742,OFF 5TH,CD,CINCINNATI O5,301 PREMIUM OUTLET DR,MONROE,OH,45050-1831,575
744,OFF 5TH,MR,MERRIMACK O5,80 PREMIUM OUTLET BLVD,MERRIMACK,NH,03054-4776,575
