 Product, Product Description, GTIN, Color Code, Color Descripton,Size Description, Create Date,Import,Category,Name,Sales price,Cost, Product,Bloomies Size,UPCs Left: ,  158 ,
WO-7142,Flutter Slv Elastic Waist,810065434678,400,Lt Blue / Multi,Medium,1/12/2021,"TEXTJOIN( - ,TRUE,A60,E60,F60)",Dress,WO-7142 - Lt Blue / Multi - M,31,16.03,WO-7142,#NAME?,,,
WO-7142,Flutter Slv Elastic Waist,810065434685,400,Lt Blue / Multi,Large,1/12/2021,"TEXTJOIN( - ,TRUE,A61,E61,F61)",Dress,WO-7142 - Lt Blue / Multi - L,31,16.03,WO-7142,#NAME?,,,
16258,MOHAIR RIB BOXY CRP TOP,810065434692,422,Chambrey,X Small,1/13/2021,"TEXTJOIN( - ,TRUE,A62,E62,F62)",Top,16258 - Chambrey - XS,13,6.48,16258,#NAME?,,,
16258,MOHAIR RIB BOXY CRP TOP,810065434708,422,Chambrey,Small,1/13/2021,"TEXTJOIN( - ,TRUE,A63,E63,F63)",Top,16258 - Chambrey - S,13,6.48,16258,#NAME?,,,
16258,MOHAIR RIB BOXY CRP TOP,810065434715,422,Chambrey,Medium,1/13/2021,"TEXTJOIN( - ,TRUE,A64,E64,F64)",Top,16258 - Chambrey - M,13,6.48,16258,#NAME?,,,
16258,MOHAIR RIB BOXY CRP TOP,810065434722,422,Chambrey,Large,1/13/2021,"TEXTJOIN( - ,TRUE,A65,E65,F65)",Top,16258 - Chambrey - L,13,6.48,16258,#NAME?,,,
16259,MOHAIR RIB TRACK PANT,810065434739,422,Chambray,X Small,1/13/2021,"TEXTJOIN( - ,TRUE,A66,E66,F66)",Pant,16259 - Chambray - XS,18,8.35,16259,#NAME?,,,
16259,MOHAIR RIB TRACK PANT,810065434746,422,Chambray,Small,1/13/2021,"TEXTJOIN( - ,TRUE,A67,E67,F67)",Pant,16259 - Chambray - S,18,8.35,16259,#NAME?,,,
16259,MOHAIR RIB TRACK PANT,810065434753,422,Chambray,Medium,1/13/2021,"TEXTJOIN( - ,TRUE,A68,E68,F68)",Pant,16259 - Chambray - M,18,8.35,16259,#NAME?,,,
16259,MOHAIR RIB TRACK PANT,810065434760,422,Chambray,Large,1/13/2021,"TEXTJOIN( - ,TRUE,A69,E69,F69)",Pant,16259 - Chambray - L,18,8.35,16259,#NAME?,,,
PTK74,ASYMTIC BAND BTM KNIT TOP,794893042710,31,Charcoal,1X,1/14/2021,"TEXTJOIN( - ,TRUE,A70,E70,F70)",Top,PTK74 - Charcoal - 1X,,,PTK74,#NAME?,,,
PTK74,ASYMTIC BAND BTM KNIT TOP,794893042727,31,Charcoal,2X,1/14/2021,"TEXTJOIN( - ,TRUE,A71,E71,F71)",Top,PTK74 - Charcoal - 2X,,,PTK74,#NAME?,,,
PTK74,ASYMTIC BAND BTM KNIT TOP,794893042734,31,Charcoal,3X,1/14/2021,"TEXTJOIN( - ,TRUE,A72,E72,F72)",Top,PTK74 - Charcoal - 3X,,,PTK74,#NAME?,,,
16254,YUMMY RIB TANK,810065434777,422,Chambray,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A73,E73,F73)",Top,16254 - Chambray - XS,9,4.88,16254,#NAME?,,,
16254,YUMMY RIB TANK,810065434784,422,Chambray,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A74,E74,F74)",Top,16254 - Chambray - S,9,4.88,16254,#NAME?,,,
16254,YUMMY RIB TANK,810065434791,422,Chambray,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A75,E75,F75)",Top,16254 - Chambray - M,9,4.88,16254,#NAME?,,,
16254,YUMMY RIB TANK,810065434807,422,Chambray,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A76,E76,F76)",Top,16254 - Chambray - L,9,4.88,16254,#NAME?,,,
16283,Wrap Front Cap Slv Top,810065434814,1,Black,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A77,E77,F77)",Top,16283 - Black - XS,17.5,8.27,16283,#NAME?,,,
16283,Wrap Front Cap Slv Top,810065434821,1,Black,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A78,E78,F78)",Top,16283 - Black - S,17.5,8.27,16283,#NAME?,,,
16283,Wrap Front Cap Slv Top,810065434838,1,Black,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A79,E79,F79)",Top,16283 - Black - M,17.5,8.27,16283,#NAME?,,,
16283,Wrap Front Cap Slv Top,810065434845,1,Black,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A80,E80,F80)",Top,16283 - Black - L,17.5,8.27,16283,#NAME?,,,
16284,Pull on Flare Pant,810065434852,1,Black,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A81,E81,F81)",Pant,16284 - Black - XS,20,10.18,16284,#NAME?,,,
16284,Pull on Flare Pant,810065434869,1,Black,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A82,E82,F82)",Pant,16284 - Black - S,20,10.18,16284,#NAME?,,,
16284,Pull on Flare Pant,810065434876,1,Black,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A83,E83,F83)",Pant,16284 - Black - M,20,10.18,16284,#NAME?,,,
16284,Pull on Flare Pant,810065434883,1,Black,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A84,E84,F84)",Pant,16284 - Black - L,20,10.18,16284,#NAME?,,,
16284,Pull on Flare Pant,810065434890,216,Lt Cafe,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A85,E85,F85)",Pant,16284 - Lt Cafe - XS,20,10.18,16284,#NAME?,,,
16284,Pull on Flare Pant,810065434906,216,Lt Cafe,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A86,E86,F86)",Pant,16284 - Lt Cafe - S,20,10.18,16284,#NAME?,,,
16284,Pull on Flare Pant,810065434913,216,Lt Cafe,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A87,E87,F87)",Pant,16284 - Lt Cafe - M,20,10.18,16284,#NAME?,,,
16284,Pull on Flare Pant,810065434920,216,Lt Cafe,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A88,E88,F88)",Pant,16284 - Lt Cafe - L,20,10.18,16284,#NAME?,,,
16285,Tank Top,810065434937,1,Black,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A89,E89,F89)",Top,16285 - Black - XS,11,5.95,16285,#NAME?,,,
16285,Tank Top,810065434944,1,Black,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A90,E90,F90)",Top,16285 - Black - S,11,5.95,16285,#NAME?,,,
16285,Tank Top,810065434951,1,Black,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A91,E91,F91)",Top,16285 - Black - M,11,5.95,16285,#NAME?,,,
16285,Tank Top,810065434968,1,Black,Large,1/19/2021,"TEXTJOIN( - ,TRUE,A92,E92,F92)",Top,16285 - Black - L,11,5.95,16285,#NAME?,,,
16285,Tank Top,810065434975,216,Lt Cafe,X Small,1/19/2021,"TEXTJOIN( - ,TRUE,A93,E93,F93)",Top,16285 - Lt Cafe - XS,11,5.95,16285,#NAME?,,,
16285,Tank Top,810065434982,216,Lt Cafe,Small,1/19/2021,"TEXTJOIN( - ,TRUE,A94,E94,F94)",Top,16285 - Lt Cafe - S,11,5.95,16285,#NAME?,,,
16285,Tank Top,810065434999,216,Lt Cafe,Medium,1/19/2021,"TEXTJOIN( - ,TRUE,A95,E95,F95)",Top,16285 - Lt Cafe - M,11,5.95,16285,#NAME?,,,
